45       45  (12)      3 :  0.2977 0.0446 0.1724 0.0324 0.4530 
46       46   (0)      3 :  0.1953 0.0164 0.1875 0.0290 0.5719 
47       47   (0)      3 :  0.3243 0.0184 0.1573 0.0330 0.4669 
48       48  (12)      3 :  0.3009 0.0248 0.1905 0.0492 0.4345 
49       49  (12)      3 :  0.2025 0.0190 0.1786 0.0354 0.5645 
50       50  (12)      3 :  0.3258 0.0384 0.1657 0.0700 0.4001 
51       51  (12)      3 :  0.1876 0.0350 0.1778 0.0516 0.5479 
52       52   (0)      3 :  0.3769 0.0204 0.1591 0.0466 0.3970 
53       53   (0)      3 :  0.3044 0.0134 0.1784 0.0368 0.4670 
54       54   (0)      2 :  0.8546 0.0262 0.0240 0.0582 0.0370 
55       55  (12)      2 :  0.9022 0.0214 0.0186 0.0276 0.0302 
56       56   (0)      2 :  0.9202 0.0164 0.0168 0.0248 0.0218 
57       57   (0)      2 :  0.9182 0.0146 0.0156 0.0296 0.0220 
58       58   (0)      2 :  0.8608 0.0258 0.0210 0.0578 0.0346 
59       59   (0)      2 :  0.4572 0.1900 0.0478 0.2617 0.0434 
60       60  (25)      2 :  0.9094 0.0198 0.0158 0.0280 0.0270 
61       61  (12)      2 :  0.9158 0.0172 0.0164 0.0244 0.0262 
62       62   (0)      2 :  0.9238 0.0164 0.0142 0.0246 0.0210 
63       63   (0)      6 :  0.0128 0.0104 0.1238 0.0522 0.8008 
64       64  (12)      6 :  0.0260 0.0064 0.1264 0.0348 0.8064 
65       65   (0)      6 :  0.0160 0.0134 0.1236 0.0646 0.7824 
66       66  (25)      6 :  0.0274 0.0166 0.1317 0.0536 0.7707 
67       67   (0)      6 :  0.0174 0.0092 0.1040 0.0556 0.8138 
68       68   (0)      5 :  0.0256 0.0414 0.7349 0.0506 0.1474 
69       69  (25)      5 :  0.0236 0.0556 0.7017 0.0760 0.1430 
70       70  (12)      6 :  0.0298 0.0086 0.1427 0.0380 0.7809 
71       71  (25)      6 :  0.0298 0.0162 0.1144 0.0662 0.7734 
72       72  (12)      6 :  0.0246 0.0242 0.1171 0.1134 0.7206 
73       73  (12)      1 :  0.0060 0.9162 0.0134 0.0540 0.0104 
74       74  (12)      1 :  0.0068 0.8875 0.0156 0.0768 0.0134 
75       75  (12)      4 :  0.0202 0.0708 0.0282 0.8642 0.0166 
76       76   (0)      4 :  0.0082 0.0614 0.0174 0.9032 0.0098 
77       77  (12)      7 :  0.0068 0.4415 0.0152 0.5251 0.0114 
